epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6681,4.35498,4.52978,3.15213,0.85713,0.06835,0.04374,0.01608,2.74574,3.13844,2.11921,0.0701,0.00332222,0.00332222
2,82.3708,2.46929,2.28069,1.764,0.24529,0.1841,0.15609,0.07222,1.98551,1.85694,1.56586,0.0400671,0.00662261,0.00662261
3,128.197,2.06858,1.84466,1.49116,0.63516,0.17257,0.15589,0.07135,1.94314,1.76086,1.55702,0.0100011,0.00989,0.00989
4,175.925,1.86188,1.60854,1.36337,0.22947,0.24523,0.19821,0.08963,1.78672,1.66844,1.42958,0.0098515,0.0098515,0.0098515
5,195.173,1.72696,1.43346,1.30406,0.3333,0.20697,0.2237,0.10438,1.71333,1.42632,1.3902,0.009802,0.009802,0.009802
6,241.674,1.645,1.30339,1.25433,0.33881,0.29567,0.2726,0.13835,1.54886,1.2248,1.27673,0.0097525,0.0097525,0.0097525
7,260.958,1.5814,1.21104,1.22033,0.46701,0.39767,0.35188,0.1731,1.38241,1.04462,1.19947,0.009703,0.009703,0.009703
8,307.911,1.53751,1.16436,1.20552,0.42672,0.34019,0.3224,0.16457,1.4789,1.15076,1.25288,0.0096535,0.0096535,0.0096535
9,355.15,1.49869,1.10543,1.18862,0.36517,0.06328,0.10623,0.04033,2.58621,2.44151,1.75151,0.009604,0.009604,0.009604
10,374.337,1.46141,1.07662,1.16765,0.45129,0.29943,0.29137,0.14323,1.61882,1.20015,1.28279,0.0095545,0.0095545,0.0095545
11,422.504,1.44816,1.05,1.15928,0.45059,0.36905,0.33272,0.1645,1.49154,1.10962,1.25347,0.009505,0.009505,0.009505
12,443.637,1.40744,1.00677,1.14301,0.35155,0.3852,0.30066,0.12887,1.76497,1.14737,1.34745,0.0094555,0.0094555,0.0094555
13,487.416,1.38909,0.98938,1.14079,0.58034,0.38782,0.40496,0.20816,1.37325,1.01053,1.1811,0.009406,0.009406,0.009406
14,534.7,1.36894,0.97236,1.12919,0.47256,0.29147,0.31648,0.17342,1.50023,1.15266,1.22266,0.0093565,0.0093565,0.0093565
15,554.188,1.36774,0.9537,1.12715,0.55417,0.46478,0.4744,0.2474,1.25262,0.84551,1.13458,0.009307,0.009307,0.009307
16,600.433,1.3501,0.93562,1.12308,0.54889,0.42161,0.45727,0.24256,1.32482,0.91999,1.15281,0.0092575,0.0092575,0.0092575
17,619.536,1.32858,0.92121,1.109,0.2745,0.26214,0.17131,0.06438,2.16059,1.59978,1.57693,0.009208,0.009208,0.009208
18,667.146,1.30843,0.89839,1.10983,0.18801,0.18684,0.13228,0.05132,2.31903,1.86034,1.614,0.0091585,0.0091585,0.0091585
19,714.215,1.30721,0.89737,1.10306,0.65197,0.40381,0.44772,0.24062,1.3273,0.86925,1.1579,0.009109,0.009109,0.009109
20,733.367,1.27409,0.86382,1.08673,0.64655,0.44646,0.48062,0.26107,1.43602,0.8953,1.18727,0.0090595,0.0090595,0.0090595
21,779.977,1.27002,0.8549,1.0931,0.49644,0.35898,0.37868,0.21285,1.43707,1.04691,1.20508,0.00901,0.00901,0.00901
22,799.475,1.26412,0.84868,1.08542,0.47524,0.47942,0.45146,0.23467,1.33914,0.93971,1.16359,0.0089605,0.0089605,0.0089605
23,846.117,1.25664,0.84329,1.08195,0.59449,0.47465,0.49516,0.27518,1.25067,0.87399,1.12477,0.008911,0.008911,0.008911
24,893.741,1.245,0.83065,1.07377,0.19871,0.09821,0.08572,0.03459,2.77499,1.92616,1.94481,0.0088615,0.0088615,0.0088615
25,913.272,1.24139,0.83063,1.07622,0.56519,0.44129,0.45629,0.25323,1.24748,0.9238,1.12062,0.008812,0.008812,0.008812
26,959.626,1.23009,0.81682,1.07326,0.61083,0.40257,0.43341,0.23243,1.26957,0.92346,1.12496,0.0087625,0.0087625,0.0087625
27,978.676,1.2238,0.80896,1.06761,0.54278,0.48796,0.49307,0.26173,1.18489,0.82099,1.09604,0.008713,0.008713,0.008713
28,1025.77,1.20265,0.79855,1.06396,0.64562,0.56574,0.61558,0.3361,1.14181,0.736,1.07271,0.0086635,0.0086635,0.0086635
29,1073.25,1.20437,0.79315,1.06166,0.61361,0.59519,0.58655,0.31027,1.25704,0.73415,1.112,0.008614,0.008614,0.008614
30,1092.52,1.20437,0.78714,1.05521,0.64424,0.51325,0.54847,0.29747,1.1645,0.77877,1.08291,0.0085645,0.0085645,0.0085645
31,1139.32,1.17946,0.7744,1.05429,0.42185,0.32473,0.29032,0.13648,1.86987,1.33023,1.38843,0.008515,0.008515,0.008515
32,1158.75,1.18481,0.77601,1.05767,0.53068,0.4546,0.47076,0.24951,1.20281,0.88989,1.10509,0.0084655,0.0084655,0.0084655
33,1209.61,1.17305,0.77296,1.05078,0.53884,0.37735,0.40365,0.20928,1.39334,0.96666,1.18849,0.008416,0.008416,0.008416
34,1252.68,1.16646,0.76063,1.05013,0.20378,0.12192,0.0914,0.03539,2.71255,2.03657,1.93789,0.0083665,0.0083665,0.0083665
35,1271.51,1.16612,0.75045,1.04667,0.72324,0.51635,0.59426,0.34704,1.10923,0.74344,1.06036,0.008317,0.008317,0.008317
36,1316.17,1.1522,0.74427,1.04143,0.56051,0.43691,0.45795,0.25075,1.24619,0.95699,1.11931,0.0082675,0.0082675,0.0082675
37,1336.29,1.15114,0.74181,1.03895,0.40562,0.42369,0.35317,0.1563,1.91875,0.98744,1.40652,0.008218,0.008218,0.008218
38,1356.6,1.13709,0.73097,1.03388,0.41685,0.39568,0.34736,0.14094,1.96555,1.06084,1.48334,0.0081685,0.0081685,0.0081685
39,1376.7,1.1406,0.72764,1.03636,0.65615,0.36916,0.42595,0.23656,1.37079,1.08746,1.17335,0.008119,0.008119,0.008119
40,1397.58,1.12292,0.72,1.03027,0.65482,0.52535,0.59213,0.28433,1.40349,0.76107,1.18515,0.0080695,0.0080695,0.0080695
41,1417.57,1.12713,0.716,1.02845,0.57424,0.41223,0.44935,0.25862,1.25033,1.00379,1.11071,0.00802,0.00802,0.00802
42,1437.9,1.12102,0.71548,1.02713,0.654,0.57814,0.60004,0.34845,1.05559,0.70768,1.03935,0.0079705,0.0079705,0.0079705
43,1457.79,1.12088,0.70977,1.0278,0.67249,0.50566,0.58996,0.30759,1.12446,0.73733,1.06778,0.007921,0.007921,0.007921
44,1477.89,1.10441,0.69837,1.02407,0.65213,0.58758,0.60268,0.3399,1.10568,0.73057,1.05523,0.0078715,0.0078715,0.0078715
45,1498.22,1.10834,0.70238,1.02139,0.45645,0.42054,0.36057,0.15215,1.84472,1.00623,1.37991,0.007822,0.007822,0.007822
46,1518.5,1.10571,0.70053,1.02792,0.24386,0.25686,0.15796,0.06069,2.36388,1.6316,1.69064,0.0077725,0.0077725,0.0077725
47,1538.91,1.1006,0.69732,1.02158,0.3752,0.10477,0.09182,0.03547,2.78085,2.08115,1.99013,0.007723,0.007723,0.007723
48,1559.27,1.09594,0.69491,1.01796,0.37996,0.19844,0.18701,0.0662,2.39688,1.37879,1.70742,0.0076735,0.0076735,0.0076735
49,1579.28,1.10061,0.68982,1.02378,0.60172,0.47069,0.50273,0.23808,1.62401,0.83938,1.28075,0.007624,0.007624,0.007624
50,1599.67,1.09124,0.68839,1.01814,0.71504,0.51077,0.58615,0.32436,1.25182,0.86026,1.11524,0.0075745,0.0075745,0.0075745
51,1619.65,1.07106,0.67872,1.00916,0.2035,0.15502,0.1137,0.0467,2.59288,2.15786,1.82351,0.007525,0.007525,0.007525
52,1639.77,1.07841,0.67271,1.01361,0.73821,0.55121,0.64493,0.36853,1.11068,0.74034,1.05423,0.0074755,0.0074755,0.0074755
53,1660.54,1.06979,0.66976,1.01008,0.71644,0.624,0.66143,0.37354,1.092,0.71078,1.04774,0.007426,0.007426,0.007426
54,1680.57,1.07653,0.67466,1.01361,0.76039,0.65542,0.72712,0.41441,1.0569,0.6139,1.03287,0.0073765,0.0073765,0.0073765
55,1700.65,1.06707,0.66918,1.01172,0.33657,0.16219,0.12605,0.04848,2.47562,1.74506,1.79385,0.007327,0.007327,0.007327
56,1720.63,1.0693,0.66951,1.01459,0.59264,0.46835,0.48975,0.26523,1.22838,0.85449,1.10672,0.0072775,0.0072775,0.0072775
57,1740.74,1.07027,0.66686,1.00733,0.42054,0.33279,0.27387,0.11067,2.07226,1.23254,1.53453,0.007228,0.007228,0.007228
58,1760.61,1.0594,0.65628,1.00584,0.29142,0.13249,0.10537,0.03491,2.76774,1.84696,2.01315,0.0071785,0.0071785,0.0071785
59,1780.69,1.05056,0.65073,0.99852,0.3806,0.34183,0.29056,0.11193,2.13898,1.13267,1.57803,0.007129,0.007129,0.007129
60,1800.61,1.04442,0.64811,1.00299,0.65045,0.61239,0.63837,0.31646,1.4681,0.72398,1.20769,0.0070795,0.0070795,0.0070795
61,1820.44,1.05534,0.65506,1.0055,0.7711,0.61777,0.70769,0.40005,1.06718,0.68149,1.03784,0.00703,0.00703,0.00703
62,1840.44,1.03422,0.63967,0.99336,0.19252,0.23055,0.13541,0.04679,2.49973,1.52494,1.81101,0.0069805,0.0069805,0.0069805
63,1860.5,1.03878,0.64339,0.99765,0.31859,0.21921,0.17522,0.06643,2.32803,1.40958,1.70915,0.006931,0.006931,0.006931
64,1880.62,1.0333,0.64328,0.9945,0.61918,0.52883,0.57094,0.3093,1.20348,0.80804,1.10518,0.0068815,0.0068815,0.0068815
65,1900.62,1.03929,0.64553,0.99661,0.33615,0.17181,0.16284,0.05563,2.52888,1.55447,1.85954,0.006832,0.006832,0.006832
66,1920.69,1.03723,0.64129,0.99679,0.27514,0.13059,0.11115,0.03706,2.77247,1.79833,2.00675,0.0067825,0.0067825,0.0067825
67,1940.53,1.02681,0.63495,0.99329,0.55134,0.54848,0.52265,0.23796,1.64765,0.8008,1.30526,0.006733,0.006733,0.006733
68,1960.48,1.02395,0.63298,0.99326,0.62733,0.48439,0.55771,0.30881,1.29753,0.84297,1.13426,0.0066835,0.0066835,0.0066835
69,1980.53,1.02221,0.62547,0.99287,0.15777,0.16607,0.08764,0.03059,2.59906,2.00465,1.92172,0.006634,0.006634,0.006634
70,2000.56,1.02228,0.63051,0.99209,0.66819,0.47112,0.53741,0.28324,1.36565,0.89169,1.1771,0.0065845,0.0065845,0.0065845
71,2020.46,1.02202,0.63158,0.99091,0.61546,0.49539,0.52496,0.24436,1.65148,0.80226,1.30069,0.006535,0.006535,0.006535
72,2040.39,1.01552,0.62637,0.99366,0.68114,0.65414,0.6444,0.36821,1.21062,0.74155,1.0944,0.0064855,0.0064855,0.0064855
73,2060.33,1.01039,0.61991,0.98789,0.74573,0.64035,0.72174,0.44102,1.01102,0.62248,1.01354,0.006436,0.006436,0.006436
74,2080.27,1.00728,0.61845,0.98719,0.26931,0.21648,0.1483,0.04775,2.55514,1.57769,1.92282,0.0063865,0.0063865,0.0063865
75,2100.09,1.00629,0.61295,0.98714,0.79741,0.70577,0.76689,0.47221,0.96738,0.56635,0.99537,0.006337,0.006337,0.006337
76,2120.21,0.99734,0.6132,0.98502,0.24798,0.23325,0.15513,0.04863,2.58393,1.5166,1.91924,0.0062875,0.0062875,0.0062875
77,2140.46,0.9974,0.60579,0.98126,0.31673,0.26085,0.18716,0.064,2.412,1.37571,1.82591,0.006238,0.006238,0.006238
78,2160.52,0.9873,0.60504,0.98154,0.25654,0.10402,0.08438,0.02607,2.80683,2.09028,2.09502,0.0061885,0.0061885,0.0061885
79,2180.53,1.00186,0.61057,0.98438,0.18758,0.20631,0.10916,0.03606,2.63741,1.94684,1.95369,0.006139,0.006139,0.006139
80,2200.78,0.98759,0.60143,0.97991,0.74607,0.60251,0.64914,0.37087,1.12593,0.69024,1.06781,0.0060895,0.0060895,0.0060895
81,2220.72,0.98657,0.59907,0.97518,0.35378,0.35018,0.2845,0.11373,2.10024,1.0858,1.56431,0.00604,0.00604,0.00604
82,2240.99,0.98895,0.5995,0.98063,0.25526,0.15744,0.13218,0.04812,2.5522,1.49795,1.89465,0.0059905,0.0059905,0.0059905
83,2261.11,0.98822,0.5985,0.97798,0.51813,0.40432,0.38937,0.16876,1.88994,0.92564,1.45375,0.005941,0.005941,0.005941
84,2281.28,0.9861,0.6019,0.98119,0.3256,0.2621,0.19598,0.06937,2.39628,1.31568,1.80819,0.0058915,0.0058915,0.0058915
85,2301.23,0.97803,0.59722,0.97697,0.33023,0.22685,0.16965,0.05878,2.47347,1.36962,1.84478,0.005842,0.005842,0.005842
