epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0758,2.6161,2.27752,2.30357,0.73162,0.27688,0.29623,0.14677,1.61085,1.28629,1.64403,0.0700364,0.00332929,0.00332929
2,113.531,1.62784,1.12205,1.44429,0.72557,0.47667,0.48041,0.22191,1.39865,0.88789,1.39451,0.0400034,0.00662964,0.00662964
3,168.092,1.45628,0.94084,1.31586,0.75693,0.62115,0.65786,0.33986,1.38574,0.76475,1.36559,0.00993745,0.00989699,0.00989699
4,222.589,1.29581,0.79043,1.21959,0.76817,0.68101,0.76226,0.44893,1.11295,0.66115,1.19071,0.0098515,0.0098515,0.0098515
5,277.833,1.182,0.69275,1.1619,0.89682,0.71536,0.80478,0.50904,1.05174,0.57027,1.16226,0.009802,0.009802,0.009802
6,332.395,1.11223,0.64268,1.12917,0.82166,0.67533,0.76818,0.48098,1.03379,0.54649,1.14869,0.0097525,0.0097525,0.0097525
7,386.595,1.05423,0.5972,1.09847,0.90787,0.79109,0.85562,0.55689,0.99025,0.50965,1.1191,0.009703,0.009703,0.009703
8,441.428,1.01223,0.56596,1.07663,0.91987,0.81672,0.85884,0.57127,0.91543,0.48584,1.08203,0.0096535,0.0096535,0.0096535
9,496.223,0.98569,0.54898,1.0659,0.85022,0.85058,0.86697,0.57329,0.91355,0.47883,1.08078,0.009604,0.009604,0.009604
10,551.083,0.96095,0.53251,1.05736,0.90094,0.85236,0.89389,0.58733,0.90126,0.46146,1.07509,0.0095545,0.0095545,0.0095545
11,605.966,0.93957,0.51747,1.04706,0.92131,0.84243,0.878,0.59798,0.90793,0.45981,1.07121,0.009505,0.009505,0.009505
12,660.966,0.9218,0.50547,1.03904,0.89809,0.84662,0.86599,0.5879,0.89137,0.44573,1.07066,0.0094555,0.0094555,0.0094555
13,715.853,0.90209,0.49346,1.02929,0.90304,0.82892,0.85841,0.58161,0.92704,0.45873,1.0886,0.009406,0.009406,0.009406
14,770.572,0.88824,0.48169,1.02031,0.86157,0.84409,0.86687,0.58744,0.8941,0.44516,1.07579,0.0093565,0.0093565,0.0093565
15,825.126,0.87478,0.47491,1.01656,0.89929,0.84494,0.88574,0.61847,0.89809,0.43644,1.07225,0.009307,0.009307,0.009307
16,879.696,0.85872,0.46562,1.0103,0.894,0.82997,0.87463,0.59083,0.90777,0.44623,1.07198,0.0092575,0.0092575,0.0092575
17,935.411,0.85739,0.46434,1.01151,0.9207,0.85119,0.89311,0.62295,0.87597,0.42766,1.05805,0.009208,0.009208,0.009208
18,990.231,0.84057,0.45278,1.00352,0.87875,0.85577,0.89192,0.63923,0.82238,0.41118,1.03672,0.0091585,0.0091585,0.0091585
19,1044.9,0.83073,0.44712,0.9979,0.89131,0.84581,0.8849,0.58216,0.91053,0.4329,1.0864,0.009109,0.009109,0.009109
20,1099.23,0.82511,0.44245,0.99707,0.91588,0.87283,0.89706,0.63892,0.79459,0.39107,1.02549,0.0090595,0.0090595,0.0090595
21,1153.47,0.81893,0.43978,0.99374,0.91922,0.85916,0.90548,0.63923,0.83688,0.40462,1.04042,0.00901,0.00901,0.00901
22,1208.24,0.80686,0.43202,0.98874,0.7984,0.85464,0.82006,0.57318,0.82213,1.00705,1.03478,0.0089605,0.0089605,0.0089605
23,1263.13,0.80704,0.43013,0.98811,0.91617,0.87361,0.89842,0.65598,0.77188,0.37742,1.01335,0.008911,0.008911,0.008911
